Date,price,high,low,open,volume,name
2010-01-04,218.5930938720703,221.76376542820617,207.68885732873463,221.76376542820617,76646086,RELIANCE.NS
2010-01-05,217.6175079345703,233.7147564600725,216.54029771355758,233.7147564600725,21392825,RELIANCE.NS
2010-01-06,221.13368225097656,222.4547964156801,217.60732377724915,219.48736720498377,23691760,RELIANCE.NS
2010-01-07,224.80230712890625,226.62137802045964,219.1012039575348,221.13369260127268,26197920,RELIANCE.NS
2010-01-08,224.21290588378906,226.37750201850946,222.75968421181614,225.19865717290486,15110149,RELIANCE.NS
2010-01-11,219.81256103515625,233.6740768649994,213.41025962321353,230.62533735610666,188649642,RELIANCE.NS
2010-01-12,220.391845703125,231.15382659982873,218.89797561433124,222.5564418350918,32790509,RELIANCE.NS
2010-01-13,221.25564575195312,221.94668241821145,217.19068188685603,221.1337004992421,15360176,RELIANCE.NS
2010-01-14,227.98313903808594,228.61318944593737,220.7271801634623,220.7271801634623,24545629,RELIANCE.NS
2010-01-15,225.75759887695312,231.4790269364477,224.59909174474717,228.81647395883226,18766617,RELIANCE.NS
2010-01-18,223.4710693359375,226.91611795985926,221.9365371857496,224.99542581339668,14172193,RELIANCE.NS
2010-01-19,220.52394104003906,224.8022951490161,220.04629504097605,223.57265349183442,13064666,RELIANCE.NS
2010-01-20,218.99960327148438,222.98327052941065,217.8817445892042,222.55644855293414,19331024,RELIANCE.NS
2010-01-21,214.2333984375,218.89793938340492,213.46106504304905,218.49144169642827,18611321,RELIANCE.NS
2010-01-22,214.19273376464844,217.67844336450045,209.24365431087259,211.5810056578726,39869565,RELIANCE.NS
2010-01-25,211.79444885253906,214.30455639995986,210.70707658005333,213.339129376524,13393277,RELIANCE.NS
2010-01-27,208.8473663330078,213.4102869421013,207.31284784645905,210.15831851992124,24843485,RELIANCE.NS
2010-01-28,210.79852294921875,212.68872846704815,208.32906396537487,211.37777641523326,33223459,RELIANCE.NS
2010-01-29,212.63790893554688,213.77609161236305,206.9266442102427,209.93470811865745,23333042,RELIANCE.NS
2010-02-01,212.475341796875,214.4265200963251,210.47333940826863,210.86967504426238,12132865,RELIANCE.NS
2010-02-02,208.79653930664062,214.70088438197942,208.1461375330761,213.8167542227251,17248998,RELIANCE.NS
2010-02-03,210.14813232421875,213.08506160175415,209.5688652973538,209.5688652973538,15052266,RELIANCE.NS
2010-02-04,207.14007568359375,210.9712975793556,206.09335179623542,210.9712975793556,11974603,RELIANCE.NS
2010-02-05,199.52842712402344,204.82303234899214,198.16667810490787,198.16667810490787,29882876,RELIANCE.NS
2010-02-08,202.09951782226562,204.1319927855134,198.16667524081524,200.19915020406302,25894932,RELIANCE.NS
2010-02-09,201.87596130371094,202.84138837955754,199.73170295459522,201.97758235010258,14292031,RELIANCE.NS
2010-02-10,200.219482421875,203.22754657324077,199.58940484671183,203.22754657324077,18261247,RELIANCE.NS
2010-02-11,206.32708740234375,207.27219021665212,200.9105231184246,201.0629682471455,23450102,RELIANCE.NS
2010-02-15,205.2803497314453,208.73557365402837,204.79255516876518,208.73557365402837,13498617,RELIANCE.NS
2010-02-16,206.85552978515625,207.5160801158339,204.26411184756114,205.30067359557432,10068256,RELIANCE.NS
2010-02-17,209.86363220214844,210.930680456601,207.72953569324332,208.32911350880866,15630122,RELIANCE.NS
2010-02-18,202.80072021484375,211.04243049086696,202.23162884289843,209.34530491111906,19834114,RELIANCE.NS
2010-02-19,199.83334350585938,202.23166827260732,198.60368802181014,202.23166827260732,17754534,RELIANCE.NS
2010-02-22,198.76622009277344,203.24782908889796,197.15039163839478,202.29256438579628,12692045,RELIANCE.NS
2010-02-23,198.2378387451172,199.79268150367918,197.15045281381083,197.96344834416468,12976934,RELIANCE.NS
2010-02-24,198.9390106201172,200.34142161470803,196.46955161612675,197.15042612251236,12487589,RELIANCE.NS
2010-02-25,195.74803161621094,200.19916902802305,194.9452117994276,199.20325565968727,18954063,RELIANCE.NS
2010-02-26,198.969482421875,202.23161240114658,196.38824046689987,196.94716968975368,22579233,RELIANCE.NS
2010-03-02,199.83334350585938,203.04466385821945,199.06099634277143,200.19919287614127,18210596,RELIANCE.NS
2010-03-03,208.2884521484375,208.93884045309886,200.8089255907948,200.8089255907948,26623966,RELIANCE.NS
2010-03-04,206.09336853027344,211.37781248565852,204.87388876925732,211.37781248565852,20781218,RELIANCE.NS
2010-03-05,205.2397003173828,208.53231699135682,204.28443540479657,207.71933510255045,11774505,RELIANCE.NS
2010-03-08,204.08119201660156,208.73557130151778,203.65437008312156,207.55672654058208,11941298,RELIANCE.NS
2010-03-09,201.28651428222656,205.64617860073062,200.81904397415056,204.56896854181318,17459521,RELIANCE.NS
2010-03-10,205.02630615234375,207.08926763856292,201.07313895661207,202.23164600612364,24807175,RELIANCE.NS
2010-03-11,206.59129333496094,207.31282982892813,204.67060147567918,205.28034126198216,14583772,RELIANCE.NS
2010-03-12,207.6380157470703,209.95504320048954,206.0933353006447,206.2965909397511,22333253,RELIANCE.NS
2010-03-15,208.948974609375,209.74164584931262,205.9104241355507,207.71933290139904,18131701,RELIANCE.NS
2010-03-16,217.05857849121094,217.8410876788464,209.14208194390505,209.75182178615086,33998717,RELIANCE.NS
2010-03-17,217.41424560546875,220.01581197458614,216.6215743865872,218.45080731166053,21599472,RELIANCE.NS
2010-03-18,218.88778686523438,219.83288961938268,216.27605844581927,218.28820919528044,15292424,RELIANCE.NS
2010-03-19,221.9568634033203,222.8613042834732,217.5057258971921,219.2638242694445,19737747,RELIANCE.NS
2010-03-22,218.278076171875,223.3694263444037,215.84926529062923,215.84926529062923,20468483,RELIANCE.NS
2010-03-23,221.82472229003906,222.3430031468678,218.88779291215573,219.09103498637808,20005544,RELIANCE.NS
2010-03-25,221.83489990234375,222.96293419582443,218.97926715451058,222.75967853983067,22967888,RELIANCE.NS
2010-03-26,223.66412353515625,225.80839531548045,222.5869133767787,222.96292479208017,18075516,RELIANCE.NS
2010-03-29,222.2109375,225.59501364380935,221.7434670739987,224.324709738842,20249784,RELIANCE.NS
2010-03-30,221.1641845703125,224.73117814888647,220.11746069336255,222.75967564646135,18938795,RELIANCE.NS
2010-03-31,218.3390350341797,222.55643036179262,217.7394573221509,222.12960842020337,21647708,RELIANCE.NS
2010-04-01,221.9568634033203,223.26780203646985,218.89797493499128,219.10121702770812,12519976,RELIANCE.NS
2010-04-05,228.83676147460938,229.59895994789443,222.86128174236362,222.86128174236362,19912935,RELIANCE.NS
